,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,fonte,genero,ipca_do_pais,variacao_do_ipca,pib_do_pais,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,continente
583,580,4700,Manufatura,Li Gaiteng,50,China,Secadores de cabelo,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
584,580,4700,Mídia e entretenimento,Thomas Secunda,68,United States,Bloomberg LP,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
585,580,4700,Diversificado,Zuowen Song,76,China,"Alumínio, diversificado",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
586,580,4700,Mídia e entretenimento,Tim Sweeney,52,United States,Videogames,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
587,591,4600,Alimentos e bebidas,Bert Beveridge,61,United States,Vodca,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
588,591,4600,Mídia e entretenimento,Mark Cuban,64,United States,"Mídia on-line, Dallas Mavericks",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
589,591,4600,Mídia e entretenimento,Charles Dolan & family,96,United States,Televisão a cabo,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
590,591,4600,Tecnologia,Jack Dorsey,46,United States,"Twitter, Square",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
591,591,4600,Energia,Fan Hongwei,56,China,Petroquímica,Fem,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
592,591,4600,Metais e mineração,Vladimir Kim,62,Kazakhstan,Mineração,Masc,182.75,5.2,180161741180,73.2,11.7,28.4,18513930,Asia
594,591,4600,Moda e varejo,Ronald Lauder,79,United States,Estee Lauder,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
595,591,4600,Manufatura,Li Chunan,54,China,Energia renovável,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
596,591,4600,Mídia e entretenimento,Forrest Li,45,Singapore,Jogos,Masc,114.41,0.6,372062527489,83.1,13.1,21.0,5703569,Asia
598,591,4600,Moda e varejo,Doug Meijer & family,69,United States,Supermercados,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
599,591,4600,Moda e varejo,Hank Meijer & family,71,United States,Supermercados,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
600,591,4600,Moda e varejo,Mark Meijer & family,65,United States,Supermercados,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
601,591,4600,Alimentos e bebidas,Issad Rebrab & family,79,Algeria,Alimentos,Masc,151.36,2.0,169988236398,76.7,37.2,66.1,43053054,Africa
602,591,4600,Logística,Fred Smith,78,United States,FedEx,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
603,591,4600,Finanças e investimentos,Barry Sternlicht,62,United States,Patrimônio privado,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
604,591,4600,Manufatura,Maximilian Viessmann,34,Germany,Equipamentos de aquecimento e resfriamento,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
605,591,4600,Alimentos e bebidas,Russ Weiner,52,United States,Bebidas energéticas,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
606,591,4600,Saúde,Xue Min,66,China,Saúde,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
607,611,4500,Alimentos e bebidas,Juan Domingo Beckmann Legorreta & family,55,Mexico,Tequila,Masc,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024,North America
608,611,4500,Tecnologia,Dietmar Hopp & family,82,Germany,Software,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
609,611,4500,Tecnologia,Jiang Bin,56,China,Componentes acústicos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
610,611,4500,Tecnologia,Joseph Liemandt,54,United States,Software,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
611,611,4500,Alimentos e bebidas,Theo Mueller,83,Switzerland,Laticínios,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
612,611,4500,Tecnologia,N.R. Narayana Murthy,76,India,Serviços de software,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
613,611,4500,Moda e varejo,Odd Reitan & family,71,Norway,"Varejo, imóveis",Masc,120.27,2.2,403336363636,82.8,23.9,36.2,5347896,Europe
614,611,4500,Finanças e investimentos,Marc Rowan,60,United States,Patrimônio privado,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
615,611,4500,Imobiliário,Hussain Sajwani,70,United Arab Emirates,Imóveis,Masc,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529,Asia
616,611,4500,Finanças e investimentos,David Velez & family,41,Brazil,Fintech,Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
617,611,4500,Manufatura,Xu Jinfu,59,China,Produtos químicos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
619,611,4500,Manufatura,You Xiaoping & family,65,China,"Produtos químicos, spandex",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
620,624,4400,Saúde,Stéphane Bancel,50,United States,"Biotecnologia, vacinas",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
621,624,4400,Tecnologia,Margot Birmingham Perot,89,United States,"Serviços de informática, imóveis",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
622,624,4400,Manufatura,Neal Blue & family,88,United States,Defesa,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
623,624,4400,Serviços,Jim Davis,63,United States,Equipe e recrutamento,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
624,624,4400,Construção e engenharia,Rafael Del Pino,64,Spain,Construção civil,Masc,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781,Europe
625,624,4400,Saúde,Peter Grogg,81,Switzerland,Bioquímicos,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
626,624,4400,Moda e varejo,Christian Haub,58,Germany,Varejo,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
627,624,4400,Imobiliário,Mangal Prabhat Lodha,67,India,Imóveis,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
628,624,4400,Esportes,Jeffrey Lurie & family,71,United States,Philadelphia Eagles,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
629,624,4400,Finanças e investimentos,Joe Mansueto,66,United States,Pesquisa de investimentos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
630,624,4400,Manufatura,Qian Dongqi & family,65,China,Robôs de limpeza doméstica,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
631,624,4400,Metais e mineração,Mikhail Shelkov,54,Russia,Titânio,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
632,636,4300,Telecomunicações,Patrick Drahi,59,Switzerland,Telecomunicações,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
633,636,4300,Finanças e investimentos,Behdad Eghbali,46,United States,Patrimônio privado,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
634,636,4300,Finanças e investimentos,Juan Carlos Escotet,63,Spain,Bancos,Masc,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781,Europe
635,636,4300,Finanças e investimentos,Jose E. Feliciano,49,United States,Patrimônio privado,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
636,636,4300,Saúde,Hu Kaijun,61,China,Farmacêutico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
637,636,4300,Logística,Johnelle Hunt,91,United States,Caminhões,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
638,636,4300,Alimentos e bebidas,Marian Ilitch,90,United States,Pizza Little Caesars,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
639,636,4300,Diversificado,Daryl Katz,61,Canada,Farmácias,Masc,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981,North America
640,636,4300,Metais e mineração,Andrei Kozitsyn,62,Russia,Metais,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
641,636,4300,Finanças e investimentos,Timur Kulibaev,56,Kazakhstan,Bancos,Masc,182.75,5.2,180161741180,73.2,11.7,28.4,18513930,Asia
642,636,4300,Finanças e investimentos,Dinara Kulibaeva,55,Kazakhstan,Bancos,Fem,182.75,5.2,180161741180,73.2,11.7,28.4,18513930,Asia
643,636,4300,Alimentos e bebidas,Gwendolyn Sontheim Meyer,61,United States,Cargill,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
644,636,4300,Imobiliário,Jay Paul,75,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
645,636,4300,Diversificado,Pham Nhat Vuong,54,Vietnam,Diversificados,Masc,163.52,2.8,261921244843,75.3,19.1,37.6,96462106,Asia
646,636,4300,Saúde,Jon Stryker,64,United States,Equipamentos médicos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
649,636,4300,Tecnologia,Frank Wang,42,China,Drones,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
650,636,4300,Manufatura,Wang Junshi & family,74,China,Inversores solares,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
651,636,4300,Tecnologia,Wang Wenjing,58,China,Software empresarial,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
652,636,4300,Finanças e investimentos,Herbert Wertheim,83,United States,Investimentos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
653,659,4200,Serviços,Shari Arison,65,Israel,Cruzeiros Carnival,Fem,108.15,0.8,395098666122,82.8,23.1,25.3,9053300,Asia
654,659,4200,Finanças e investimentos,Pyotr Aven,68,Latvia,"Petróleo, bancos, telecomunicações",Masc,116.86,2.8,34117202555,74.7,22.9,38.1,1912789,Europe
655,659,4200,Imobiliário,Chan Laiwa & family,82,China,Imóveis,Fem,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
656,659,4200,Imobiliário,Chen Hua,57,China,Imóveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
657,659,4200,Finanças e investimentos,Thomas Hagen,87,United States,Seguros,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
658,659,4200,Finanças e investimentos,"Rupert Johnson, Jr.",82,United States,Franklin Templeton,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
659,659,4200,Energia,Dewi Kam,72,Indonesia,Carvão,Fem,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
660,659,4200,Tecnologia,Min Kao & family,74,United States,Equipamento de navegação,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
661,659,4200,Finanças e investimentos,Marc Ladreit de Lacharriere,82,France,Finanças,Masc,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
662,659,4200,Tecnologia,Eric Lefkofsky,53,United States,"Groupon, investimentos",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
663,659,4200,Tecnologia,Lin Bin,55,China,Smartphones,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
664,659,4200,Finanças e investimentos,Lin Li,59,China,Investimentos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
665,659,4200,Tecnologia,Michael Moritz,68,United States,Capital de risco,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
666,659,4200,Serviços,Jean (Gigi) Pritzker,60,United States,"Hotéis, investimentos",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
667,659,4200,Automotivo,E. Joe Shoen,73,United States,U-Haul,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
668,659,4200,Tecnologia,Jeff Skoll,58,United States,EBay,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
669,659,4200,Alimentos e bebidas,Lynsi Snyder,40,United States,In-N-Out Burger,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
670,659,4200,Moda e varejo,Djoko Susanto,73,Indonesia,Supermercados,Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
671,659,4200,Diversificado,Tahir & family,71,Indonesia,Diversificados,Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
672,659,4200,Finanças e investimentos,Peter Thiel,55,United States,"Facebook, investimentos",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
673,679,4100,Alimentos e bebidas,Andrej Babis,68,Czech Republic,Agricultura,Masc,116.48,2.8,246489245495,79.0,14.9,46.1,10669709,Europe
674,679,4100,Serviços,Danielle Bellon & family,83,France,Serviços de alimentação,Fem,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
675,679,4100,Mídia e entretenimento,Hubert Burda,83,Germany,Editoras,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
676,679,4100,Alimentos e bebidas,Nick Caporella,87,United States,Bebidas,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
677,679,4100,Energia,John Catsimatidis,74,United States,"Petróleo, imóveis",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
678,679,4100,Tecnologia,Scott Cook,70,United States,Software,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
679,679,4100,Alimentos e bebidas,Luca Garavoglia,54,Italy,Espíritos,Masc,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396,Europe
680,679,4100,Manufatura,Antti Herlin,66,Finland,"Elevadores, escadas rolantes",Masc,112.33,1.0,268761201365,81.7,20.8,36.6,5520314,Europe
681,679,4100,Manufatura,Hong Jie,55,China,Pintura,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
682,679,4100,Serviços,"Jeremy Jacobs, Sr. & family",83,United States,Serviço de alimentação,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
683,679,4100,Moda e varejo,Igor Kesaev,56,Russia,"Distribuição de tabaco, varejo",Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
684,679,4100,Alimentos e bebidas,Mary Alice Dorrance Malone,73,United States,Sopa Campbell,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
685,679,4100,Diversificado,Joao Moreira Salles,61,Brazil,"Bancos, minerais",Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
686,679,4100,Finanças e investimentos,Walther Moreira Salles Junior,66,Brazil,"Bancos, minerais",Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
687,679,4100,Esportes,Arturo Moreno,76,United States,"Outdoors, Los Angeles Angels",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
688,679,4100,Manufatura,Peter Spuhler,63,Switzerland,Vagões de trem,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
689,679,4100,Imobiliário,Donald Sterling,88,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
690,679,4100,Diversificado,Kerry Stokes,82,Australia,"Equipamentos de construção, mídia",Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
691,679,4100,Tecnologia,Ken Xie,60,United States,Segurança cibernética,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
692,679,4100,Saúde,Liangzhi Xie & family,57,China,Biotecnologia,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
693,699,4000,Energia,Sid Bass,80,United States,"Petróleo, investimentos",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
694,699,4000,Tecnologia,Ben Chestnut,48,United States,Marketing por e-mail,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
695,699,4000,Alimentos e bebidas,Elisabeth DeLuca & family,75,United States,Metrô,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
696,699,4000,Diversificado,Guangchang Guo,56,China,Conglomerado,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
697,699,4000,Manufatura,Vinod Rai Gupta,77,India,Equipamentos elétricos,Fem,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
698,699,4000,Esportes,John Henry,73,United States,Esportes,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
699,699,4000,Tecnologia,Travis Kalanick,46,United States,Uber,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
700,699,4000,Manufatura,Koon Poh Keong,61,Malaysia,Alumínio,Masc,121.46,0.7,364701517788,76.0,12.0,38.7,32447385,Asia
701,699,4000,Tecnologia,Dan Kurzius,51,United States,Marketing por e-mail,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
702,699,4000,Manufatura,Paul Lee,65,China,Separadores de bateria,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
703,699,4000,Tecnologia,Tobi Lutke,42,Canada,Comércio eletrônico,Masc,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981,North America
704,699,4000,Automotivo,Gail Miller,79,United States,Concessionárias de automóveis,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
705,699,4000,Telecomunicações,Rajan Mittal,63,India,Telecomunicações,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
706,699,4000,Telecomunicações,Rakesh Mittal,67,India,Telecomunicações,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
707,699,4000,Mídia e entretenimento,Isaac Perlmutter,80,United States,Quadrinhos da Marvel,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
708,699,4000,Finanças e investimentos,"Bernard Saul, II.",90,United States,"Bancos, imóveis",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
709,699,4000,Telecomunicações,Shaul Shani,68,Italy,Telecomunicações,Masc,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396,Europe
710,699,4000,Mídia e entretenimento,Steven Spielberg,76,United States,Filmes,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
711,699,4000,Saúde,Jerzy Starak,75,Poland,Farmacêutico,Masc,114.11,2.2,592164400688,77.6,17.4,40.8,37970874,Europe
712,699,4000,Energia,Torbjorn Tornqvist,69,Switzerland,Comércio de petróleo,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
713,699,4000,Metais e mineração,Rufino Vigil Gonzalez,74,Mexico,Aço,Masc,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024,North America
714,699,4000,Diversificado,Zhang Daocai,73,China,Válvulas,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
715,721,3900,Manufatura,Juergen Blickle,76,Germany,Autopeças,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
716,721,3900,Alimentos e bebidas,"Austen Cargill, II.",72,United States,Cargill,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
717,721,3900,Alimentos e bebidas,"James Cargill, II.",73,United States,Cargill,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
718,721,3900,Finanças e investimentos,Vanich Chaiyawan,91,Thailand,"Seguros, bebidas",Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
719,721,3900,Finanças e investimentos,Chen Dongsheng,65,China,Seguros,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
720,721,3900,Automotivo,Mong-Koo Chung,85,South Korea,Hyundai,Masc,115.16,0.4,2029000000000,82.6,15.6,33.2,51709098,Asia
722,721,3900,Moda e varejo,Giuseppe De'Longhi & family,83,Italy,Cafeteiras,Masc,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396,Europe
723,721,3900,Saúde,Guenther Fielmann & family,83,Germany,Optometria,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
724,721,3900,Energia,W. Herbert Hunt,94,United States,Petróleo,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
725,721,3900,Esportes,James Irsay,63,United States,Colts de Indianápolis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
726,721,3900,Diversificado,Somurai Jaruphnit,74,Thailand,Diversificados,Fem,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
727,721,3900,Alimentos e bebidas,Marianne Liebmann,69,United States,Cargill,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
728,721,3900,Saúde,Jorge Moll Filho & family,78,Brazil,Hospitais,Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
729,721,3900,Diversificado,Fernando Roberto Moreira Salles,76,Brazil,"Bancos, minerais",Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
730,721,3900,Diversificado,Pedro Moreira Salles,63,Brazil,"Bancos, minerais",Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
731,721,3900,Jogos de azar e cassinos,Gabe Newell,60,United States,Videogames,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
732,721,3900,Moda e varejo,Alfred Oetker,56,Germany,Bens de consumo,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
733,721,3900,Moda e varejo,Carl Ferdinand Oetker,50,Germany,Bens de consumo,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
734,721,3900,Moda e varejo,Julia Oetker,44,Germany,Bens de consumo,Fem,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
735,721,3900,Manufatura,Ruan Hongliang & family,62,China,Vidro,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
736,721,3900,Finanças e investimentos,Mark Stevens,63,United States,Capital de risco,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
738,721,3900,Alimentos e bebidas,Nusli Wadia,79,India,Bens de consumo,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
739,721,3900,Saúde,Wu Yiling,73,China,Farmacêutico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
740,721,3900,Manufatura,Yu Renrong,57,China,Semicondutores,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
741,721,3900,Saúde,Zhu Baoguo & family,60,China,Farmacêutico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
742,748,3800,Serviços,Rahul Bhatia,63,India,Aviação,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
743,748,3800,Construção e engenharia,Francesco Gaetano Caltagirone,80,Italy,"Cimento, diversificado",Masc,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396,Europe
744,748,3800,Mídia e entretenimento,Barry Diller,81,United States,Mídia on-line,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
745,748,3800,Finanças e investimentos,Wesley Edens,61,United States,Investimentos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
746,748,3800,Finanças e investimentos,Stephen Feinberg,63,United States,Patrimônio privado,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
747,748,3800,Serviços,Rakesh Gangwal,69,United States,Companhias aéreas,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
748,748,3800,Alimentos e bebidas,Joseph Grendys,61,United States,Processamento de aves,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
749,748,3800,Mídia e entretenimento,Martha Ingram & family,87,United States,"Distribuição de livros, transporte",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
750,748,3800,Automotivo,Li Xiang,41,China,Veículos elétricos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
751,748,3800,Imobiliário,"H. Ross Perot, Jr.",64,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
752,748,3800,Imobiliário,Chandru Raheja,82,India,Imóveis,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
753,748,3800,Energia,Trevor Rees-Jones,71,United States,Petróleo e gás,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
754,748,3800,Telecomunicações,Yasumitsu Shigeta,58,Japan,Varejista de telefones celulares,Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
755,748,3800,Saúde,Su Qingcan,54,China,Saúde,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
757,748,3800,Serviços,Steven Udvar-Hazy,77,United States,Aluguel de aeronaves,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
758,748,3800,Manufatura,Elizabeth Uihlein,77,United States,Materiais de embalagem,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
759,748,3800,Manufatura,Richard Uihlein,77,United States,Materiais de embalagem,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
760,766,3700,Finanças e investimentos,Hayes Barnard,51,United States,Fintech,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
761,766,3700,Finanças e investimentos,William Berkley,76,United States,Seguros,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
762,766,3700,Imobiliário,Charles Cohen,71,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
763,766,3700,Imobiliário,Yakir Gabay,56,United Kingdom,Imóveis,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
764,766,3700,Tecnologia,Huang Li,59,China,Sistemas de imagem,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
765,766,3700,Logística,Brad Jacobs,66,United States,Logística,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
766,766,3700,Imobiliário,Ji Qi,56,China,"Hotéis, motéis",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
767,766,3700,Mídia e entretenimento,Jason Jiang,50,China,Publicidade,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
768,766,3700,Tecnologia,Jim Kavanaugh,60,United States,Provedor de TI,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
769,766,3700,Imobiliário,Richard LeFrak & family,77,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
770,766,3700,Finanças e investimentos,Mikhail Lomtadze,47,Kazakhstan,Fintech,Masc,182.75,5.2,180161741180,73.2,11.7,28.4,18513930,Asia
771,766,3700,Moda e varejo,Tom Morris,68,United Kingdom,Varejo,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
772,766,3700,Manufatura,Shigenobu Nagamori,78,Japan,Motores,Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
773,766,3700,Finanças e investimentos,Daniel Och,62,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
774,766,3700,Moda e varejo,Horst Paulmann & family,88,Chile,Varejo,Masc,131.91,2.6,282318159745,80.0,18.2,34.0,18952038,South America
