,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,city_of_residence,fonte,citizenship,genero,birth_date,last_name,first_name,residence_state,residence_region,birth_year,birth_month,birth_day,ipca_do_pais,variacao_do_ipca,pib_do_pais,g_tertiary_ed_enroll,g_primary_ed_enroll,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,country_lat,country_long,continente
449,445,5700,Finanças e investimentos,Dirk Ziff,59,United States,North Palm Beach,Investimentos,United States,Masc,1964-04-01,Ziff,Dirk,Florida,South,1964,4,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
450,445,5700,Finanças e investimentos,Robert Ziff,56,United States,New York,Investimentos,United States,Masc,1966-08-12,Ziff,Robert,New York,Northeast,1966,8,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
451,455,5600,Logística,Maria Angelicoussis,41,Greece,Unknown,Transporte marítimo,Greece,Fem,1982-02-18,Angelicoussis,Maria,No subdivisions info,No subdivisions info,1982,2,18,101.87,0.2,209852761469,136.6,99.6,81.3,26.2,51.9,10716322,39.074208,21.824312,Europe
452,455,5600,Energia,Ray Lee Hunt,79,United States,Dallas,"Petróleo, imóveis",United States,Masc,1943-04-06,Hunt,Ray Lee,Texas,South,1943,4,6,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
453,455,5600,Logística,Lai Meisong,52,China,Shanghai,Entrega de pacotes,China,Masc,1970-12-01,Lai,Meisong,No subdivisions info,No subdivisions info,1970,12,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
454,455,5600,Automotivo,Vikram Lal & family,81,India,Delhi,Motocicletas,India,Masc,1942-03-05,Lal,Vikram,No subdivisions info,No subdivisions info,1942,3,5,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
455,455,5600,Finanças e investimentos,Ken Langone,87,United States,Sands Point,Investimentos,United States,Masc,1935-09-16,Langone,Ken,New York,Northeast,1935,9,16,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
456,455,5600,Saúde,Li Ge,56,China,Shanghai,Ingredientes farmacêuticos,United States,Masc,1967-01-01,Li,Ge,No subdivisions info,No subdivisions info,1967,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
457,455,5600,Finanças e investimentos,Karen Pritzker,65,United States,Branford,"Hotéis, investimentos",United States,Fem,1958-01-07,Pritzker,Karen,Connecticut,Northeast,1958,1,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
458,455,5600,Serviços,Robert Rowling,69,United States,Dallas,"Hotéis, investimentos",United States,Masc,1953-09-26,Rowling,Robert,Texas,South,1953,9,26,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
459,455,5600,Jogos de azar e cassinos,Teddy Sagi,51,Israel,Tel Aviv,Software de jogos de azar,Israel,Masc,1971-11-01,Sagi,Teddy,No subdivisions info,No subdivisions info,1971,11,1,108.15,0.8,395098666122,63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612,Asia
460,455,5600,Saúde,Seo Jung-jin,65,South Korea,Seoul,Biotecnologia,South Korea,Masc,1957-10-23,Seo,Jung-jin,No subdivisions info,No subdivisions info,1957,10,23,115.16,0.4,2029000000000,94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922,Asia
461,455,5600,Automotivo,Wu Jianshu,59,China,Ningbo,Autopeças,Hong Kong,Masc,1964-01-01,Wu,Jianshu,No subdivisions info,No subdivisions info,1964,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
462,466,5500,Serviços,Micky Arison,73,United States,Bal Harbour,Cruzeiros Carnival,United States,Masc,1949-06-29,Arison,Micky,Florida,South,1949,6,29,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
463,466,5500,Mídia e entretenimento,James Chambers,65,United States,Palisades,"Mídia, automotivo",United States,Masc,1957-04-12,Chambers,James,New York,Northeast,1957,4,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
465,466,5500,Tecnologia,John Collison,32,United States,San Francisco,Software de pagamentos,Ireland,Masc,1990-08-06,Collison,John,California,West,1990,8,6,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
466,466,5500,Tecnologia,Patrick Collison,34,United States,San Francisco,Software de pagamento,Ireland,Masc,1988-09-09,Collison,Patrick,California,West,1988,9,9,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
467,466,5500,Manufatura,Archie Aldis Emmerson & family,93,United States,Redding,"Madeira, serrarias",United States,Masc,1929-04-10,Emmerson,Archie Aldis,California,West,1929,4,10,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
468,466,5500,Automotivo,Piero Ferrari,77,Italy,Modena,Automóveis,Italy,Masc,1945-05-22,Ferrari,Piero,No subdivisions info,No subdivisions info,1945,5,22,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,Europe
469,466,5500,Automotivo,Dan Friedkin,58,United States,Houston,Concessionárias Toyota,United States,Masc,1965-02-27,Friedkin,Dan,Texas,South,1965,2,27,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
470,466,5500,Diversificado,James Irving,95,Canada,Saint John,Diversificados,Canada,Masc,1928-03-20,Irving,James,No subdivisions info,No subdivisions info,1928,3,20,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,North America
471,466,5500,Manufatura,Jiang Weiping & family,68,China,Chengdu,Produtos químicos,China,Masc,1955-03-01,Jiang,Weiping,No subdivisions info,No subdivisions info,1955,3,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
472,466,5500,Saúde,Wolfgang Marguerre & family,81,Germany,Heidelberg,Farmacêutico,Germany,Masc,1941-06-04,Marguerre,Wolfgang,No subdivisions info,No subdivisions info,1941,6,4,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
473,466,5500,Finanças e investimentos,Ludwig Merckle,58,Germany,Ulm,Farmacêutico,Germany,Masc,1965-01-01,Merckle,Ludwig,No subdivisions info,No subdivisions info,1965,1,1,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
474,466,5500,Manufatura,Mitchell Rales,66,United States,Potomac,"Fabricação, investimentos",United States,Masc,1956-08-21,Rales,Mitchell,Maryland,South,1956,8,21,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
475,466,5500,Mídia e entretenimento,Katharine Rayner,78,United States,East Hampton,"Mídia, automotivo",United States,Fem,1945-01-12,Rayner,Katharine,New York,Northeast,1945,1,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
477,466,5500,Finanças e investimentos,Paul Singer,78,United States,New York,Fundos de hedge,United States,Masc,1944-08-22,Singer,Paul,New York,Northeast,1944,8,22,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
478,466,5500,Saúde,Sergio Stevanato & family,80,Italy,Venice,Embalagens médicas,Italy,Masc,1943-03-20,Stevanato,Sergio,No subdivisions info,No subdivisions info,1943,3,20,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,Europe
479,466,5500,Mídia e entretenimento,Margaretta Taylor,80,United States,Southampton,"Mídia, automotivo",United States,Fem,1942-04-15,Taylor,Margaretta,New York,Northeast,1942,4,15,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
480,466,5500,Tecnologia,Richard White,68,Australia,Sydney,Software,Australia,Masc,1955-04-01,White,Richard,No subdivisions info,No subdivisions info,1955,4,1,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
481,466,5500,Diversificado,Zhao Yan,56,China,Beijing,Biotecnologia,China,Fem,1967-01-01,Zhao,Yan,No subdivisions info,No subdivisions info,1967,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
482,486,5400,Moda e varejo,Patrizio Bertelli,77,Italy,Milan,Bens de luxo,Italy,Masc,1946-01-01,Bertelli,Patrizio,No subdivisions info,No subdivisions info,1946,1,1,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,Europe
483,486,5400,Manufatura,Mahendra Choksi & family,81,India,Mumbai,Tintas,India,Masc,1941-04-19,Choksi,Mahendra,No subdivisions info,No subdivisions info,1941,4,19,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
484,486,5400,Finanças e investimentos,Mat Ishbia,43,United States,Bloomfield Hills,Credor hipotecário,United States,Masc,1980-01-06,Ishbia,Mat,Michigan,Midwest,1980,1,6,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
485,486,5400,Tecnologia,Leo Koguan,68,Singapore,Singapore,Provedor de TI,United States,Masc,1955-02-15,Koguan,Leo,No subdivisions info,No subdivisions info,1955,2,15,114.41,0.6,372062527489,84.8,100.6,83.1,13.1,21.0,5703569,1.352083,103.819836,Asia
486,486,5400,Diversificado,Miao Hangen,58,China,Suzhou,"Têxteis, petroquímicos",China,Masc,1965-01-01,Miao,Hangen,No subdivisions info,No subdivisions info,1965,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
487,486,5400,Manufatura,Michael Pieper,77,Switzerland,Lucerne,Utensílios de cozinha,Switzerland,Masc,1946-02-05,Pieper,Michael,No subdivisions info,No subdivisions info,1946,2,5,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
488,486,5400,Moda e varejo,Miuccia Prada,73,Italy,Milan,Bens de luxo,Italy,Fem,1949-05-10,Prada,Miuccia,No subdivisions info,No subdivisions info,1949,5,10,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738,Europe
489,486,5400,Moda e varejo,Wolfgang Reimann,70,Germany,Passau,Bens de consumo,Germany,Masc,1952-10-04,Reimann,Wolfgang,No subdivisions info,No subdivisions info,1952,10,4,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
490,486,5400,Moda e varejo,Matthias Reimann-Andersen,58,Germany,Munich,Bens de consumo,Germany,Masc,1965-03-30,Reimann-Andersen,Matthias,No subdivisions info,No subdivisions info,1965,3,30,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
491,486,5400,Moda e varejo,Stefan Reimann-Andersen,59,Austria,Vienna,Bens de consumo,Germany,Masc,1963-07-13,Reimann-Andersen,Stefan,No subdivisions info,No subdivisions info,1963,7,13,118.06,1.5,446314739528,85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072,Europe
492,486,5400,Moda e varejo,Renate Reimann-Haas,71,Austria,Vienna,Bens de consumo,Germany,Fem,1951-10-08,Reimann-Haas,Renate,No subdivisions info,No subdivisions info,1951,10,8,118.06,1.5,446314739528,85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072,Europe
493,497,5300,Finanças e investimentos,Todd Boehly,49,United States,Darien,Finanças,United States,Masc,1973-09-20,Boehly,Todd,Connecticut,Northeast,1973,9,20,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
494,497,5300,Imobiliário,Rick Caruso,64,United States,Los Angeles,Imóveis,United States,Masc,1959-01-07,Caruso,Rick,California,West,1959,1,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
495,497,5300,Manufatura,Ibrahim Erdemoglu,60,Turkey,Istanbul,Carpete,Turkey,Masc,1962-09-26,Erdemoglu,Ibrahim,No subdivisions info,No subdivisions info,1962,9,26,234.44,15.2,754411708203,23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322,Asia
496,497,5300,Finanças e investimentos,Elizabeth Johnson,59,United States,Boston,Fidelidade,United States,Fem,1963-05-07,Johnson,Elizabeth,Massachusetts,Northeast,1963,5,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
497,497,5300,Finanças e investimentos,Douglas Leone,65,United States,Atherton,Capital de risco,United States,Masc,1957-07-04,Leone,Douglas,California,West,1957,7,4,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
498,497,5300,Diversificado,Prajogo Pangestu,78,Indonesia,Jakarta,Petroquímica,Indonesia,Masc,1944-05-13,Pangestu,Prajogo,No subdivisions info,No subdivisions info,1944,5,13,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
499,497,5300,Finanças e investimentos,Thomas Pritzker,72,United States,Chicago,"Hotéis, investimentos",United States,Masc,1950-06-06,Pritzker,Thomas,Illinois,Midwest,1950,6,6,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
500,497,5300,Alimentos e bebidas,Lynda Resnick,80,United States,Beverly Hills,Agricultura,United States,Fem,1943-01-02,Resnick,Lynda,California,West,1943,1,2,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
501,497,5300,Alimentos e bebidas,Stewart Resnick,86,United States,Beverly Hills,Agricultura,United States,Masc,1936-12-24,Resnick,Stewart,California,West,1936,12,24,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
502,497,5300,Serviços,Gary Rollins,78,United States,Atlanta,Controle de pragas,United States,Masc,1944-08-30,Rollins,Gary,Georgia,South,1944,8,30,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
503,497,5300,Finanças e investimentos,Mark Walter,62,United States,Chicago,"Finanças, gerenciamento de ativos",United States,Masc,1960-05-22,Walter,Mark,Illinois,Midwest,1960,5,22,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
504,497,5300,Manufatura,Ronald Wanek,81,United States,Saint Petersburg,Móveis,United States,Masc,1941-05-19,Wanek,Ronald,Florida,South,1941,5,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
505,497,5300,Alimentos e bebidas,Erich Wesjohann & family,77,Germany,Visbek,Genética de aves,Germany,Masc,1945-06-02,Wesjohann,Erich,No subdivisions info,No subdivisions info,1945,6,2,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
506,497,5300,Moda e varejo,M.A. Yusuff Ali,67,United Arab Emirates,Abu Dhabi,Varejo,India,Masc,1955-11-15,Yusuff Ali,M.A.,No subdivisions info,No subdivisions info,1955,11,15,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818,Asia
507,511,5200,Finanças e investimentos,Alexandre Behring,56,United States,Greenwich,Investimentos,Brazil,Masc,1967-02-20,Behring,Alexandre,Connecticut,Northeast,1967,2,20,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
508,511,5200,Alimentos e bebidas,Cheng Xue,53,China,Foshan,Molho de soja,China,Fem,1970-02-26,Cheng,Xue,No subdivisions info,No subdivisions info,1970,2,26,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
509,511,5200,Imobiliário,Robert Faith,59,United States,Charleston,Gestão de imóveis,United States,Masc,1963-10-03,Faith,Robert,South Carolina,South,1963,10,3,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
510,511,5200,Moda e varejo,Gao Dekang & family,71,China,Changshu,Vestuário,China,Masc,1952-02-01,Gao,Dekang,No subdivisions info,No subdivisions info,1952,2,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
511,511,5200,Moda e varejo,Micky Jagtiani,71,United Arab Emirates,Dubai,Varejo,India,Masc,1951-09-28,Jagtiani,Micky,No subdivisions info,No subdivisions info,1951,9,28,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818,Asia
512,511,5200,Telecomunicações,Ananda Krishnan,85,Malaysia,Kuala Lumpur,"Telecomunicações, mídia, serviços de petróleo",Malaysia,Masc,1938-04-01,Krishnan,Ananda,No subdivisions info,No subdivisions info,1938,4,1,121.46,0.7,364701517788,45.1,105.3,76.0,12.0,38.7,32447385,4.210484,101.975766,Asia
514,511,5200,Alimentos e bebidas,"Robert Rich, Jr.",82,United States,Islamorada,Alimentos congelados,United States,Masc,1941-01-25,Rich,Robert,Florida,South,1941,1,25,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
515,511,5200,Jogos de azar e cassinos,Mark Scheinberg,49,United Kingdom,Isle of Man,Jogos de azar on-line,Canada,Masc,1973-12-27,Scheinberg,Mark,No subdivisions info,No subdivisions info,1973,12,27,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
516,511,5200,Tecnologia,Charles Simonyi,74,United States,Medina,Microsoft,United States,Masc,1948-09-10,Simonyi,Charles,Washington,West,1948,9,10,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
517,511,5200,Imobiliário,Ty Warner,78,United States,Oak Brook,"Brinquedos de pelúcia, imóveis",United States,Masc,1944-09-03,Warner,Ty,Illinois,Midwest,1944,9,3,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
518,511,5200,Imobiliário,Sam Zell,81,United States,Chicago,"Imóveis, patrimônio privado",United States,Masc,1941-09-28,Zell,Sam,Illinois,Unknown,1941,9,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
519,523,5100,Manufatura,Fang Wei,49,China,Beijing,Aço,China,Masc,1973-09-04,Fang,Wei,No subdivisions info,No subdivisions info,1973,9,4,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
520,523,5100,Finanças e investimentos,Rekha Jhunjhunwala,59,India,Mumbai,Investimentos,India,Fem,1963-09-12,Jhunjhunwala,Rekha,No subdivisions info,No subdivisions info,1963,9,12,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
521,523,5100,Finanças e investimentos,Charles B. Johnson,90,United States,Palm Beach,Franklin Templeton,United States,Masc,1933-01-06,Johnson,Charles B.,Florida,South,1933,1,6,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
522,523,5100,Mídia e entretenimento,Kwon Hyuk-bin,49,South Korea,Seoul,Jogos on-line,South Korea,Masc,1974-01-01,Kwon,Hyuk-bin,No subdivisions info,No subdivisions info,1974,1,1,115.16,0.4,2029000000000,94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922,Asia
523,523,5100,Finanças e investimentos,Sami Mnaymneh,61,United States,Miami Beach,Patrimônio privado,United States,Masc,1961-07-13,Mnaymneh,Sami,Florida,South,1961,7,13,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
524,523,5100,Logística,Kjell Inge Rokke,64,Norway,Vettre,"Transporte marítimo, frutos do mar",Norway,Masc,1958-10-25,Rokke,Kjell Inge,No subdivisions info,No subdivisions info,1958,10,25,120.27,2.2,403336363636,82.0,100.3,82.8,23.9,36.2,5347896,60.472024,8.468946,Europe
525,523,5100,Finanças e investimentos,Tony Tamer,65,United States,New York,Patrimônio privado,United States,Masc,1957-10-12,Tamer,Tony,New York,Northeast,1957,10,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
527,523,5100,Tecnologia,Romesh T. Wadhwani,75,United States,Palo Alto,Software,United States,Masc,1947-08-25,Wadhwani,Romesh T.,California,West,1947,8,25,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
528,523,5100,Saúde,Hansjoerg Wyss,88,United States,Wilson,Dispositivos médicos,Switzerland,Masc,1935-01-01,Wyss,Hansjoerg,Wyoming,South,1935,1,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
529,523,5100,Esportes,Denise York & family,72,United States,Youngstown,São Francisco 49ers,United States,Fem,1950-10-21,York,Denise,Ohio,Midwest,1950,10,21,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
530,534,5000,Finanças e investimentos,Ron Baron,79,United States,New York,Gerenciamento de dinheiro,United States,Masc,1943-05-23,Baron,Ron,New York,Northeast,1943,5,23,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
531,534,5000,Energia,Robert Bass,75,United States,Fort Worth,"Petróleo, investimentos",United States,Masc,1948-03-19,Bass,Robert,Texas,South,1948,3,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
532,534,5000,Saúde,Dona Bertarelli,55,Switzerland,Gstaad,Biotecnologia e investimentos,Switzerland,Fem,1968-01-01,Bertarelli,Dona,No subdivisions info,No subdivisions info,1968,1,1,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
533,534,5000,Finanças e investimentos,Alexander Gerko,43,United Kingdom,London,Comércio,United Kingdom,Masc,1979-12-03,Gerko,Alexander,No subdivisions info,No subdivisions info,1979,12,3,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
534,534,5000,Tecnologia,Martin Haefner,69,Switzerland,Zurich,"Software, investimentos",Switzerland,Masc,1954-01-01,Haefner,Martin,No subdivisions info,No subdivisions info,1954,1,1,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
535,534,5000,Telecomunicações,"Robert Hale, Jr.",56,United States,Boston,Telecomunicações,United States,Masc,1966-07-08,Hale,Robert,Massachusetts,Northeast,1966,7,8,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
536,534,5000,Saúde,Viktor Kharitonin,50,Russia,Moscow,Farmacêutico,Russia,Masc,1972-11-20,Kharitonin,Viktor,No subdivisions info,No subdivisions info,1972,11,20,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
537,534,5000,Tecnologia,Kim Beom-su,57,South Korea,Seoul,Serviços on-line,South Korea,Masc,1966-03-27,Kim,Beom-su,No subdivisions info,No subdivisions info,1966,3,27,115.16,0.4,2029000000000,94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922,Asia
538,534,5000,Moda e varejo,Jane Lauder,50,United States,New York,Estée Lauder,United States,Fem,1973-01-01,Lauder,Jane,New York,Northeast,1973,1,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
539,534,5000,Moda e varejo,Michel Leclercq & family,83,France,Lille,Artigos esportivos,France,Masc,1939-05-27,Leclercq,Michel,No subdivisions info,No subdivisions info,1939,5,27,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,Europe
540,534,5000,Mídia e entretenimento,George Lucas,78,United States,San Anselmo,Guerra nas Estrelas,United States,Masc,1944-05-14,Lucas,George,California,West,1944,5,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
541,534,5000,Esportes,Janice McNair,86,United States,Houston,"Energia, esportes",United States,Fem,1936-09-30,McNair,Janice,Texas,South,1936,9,30,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
542,534,5000,Saúde,Ugur Sahin,57,Germany,Mainz,Biotecnologia,Germany,Masc,1965-09-19,Sahin,Ugur,No subdivisions info,No subdivisions info,1965,9,19,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
543,534,5000,Imobiliário,Alexandra Schoerghuber & family,64,Germany,Munich,Imóveis,Germany,Fem,1958-07-24,Schoerghuber,Alexandra,No subdivisions info,No subdivisions info,1958,7,24,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
544,534,5000,Saúde,Thomas Straumann,59,Switzerland,Basel,Implantes dentários,Switzerland,Masc,1963-07-22,Straumann,Thomas,No subdivisions info,No subdivisions info,1963,7,22,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
545,534,5000,Alimentos e bebidas,Murat Ulker,64,Turkey,Istanbul,Alimentos,Turkey,Masc,1959-03-23,Ulker,Murat,No subdivisions info,No subdivisions info,1959,3,23,234.44,15.2,754411708203,23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322,Asia
546,534,5000,Moda e varejo,Chip Wilson,66,Canada,Vancouver,Lululemon,Canada,Masc,1957-01-01,Wilson,Chip,No subdivisions info,No subdivisions info,1957,1,1,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,North America
547,534,5000,Imobiliário,Zhu Yan & family,59,China,Beijing,Imóveis,China,Fem,1964-01-01,Zhu,Yan,No subdivisions info,No subdivisions info,1964,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
548,552,4900,Manufatura,Jim Davis & family,79,United States,Newton,New Balance,United States,Masc,1943-05-17,Davis,Jim,Massachusetts,Northeast,1943,5,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
549,552,4900,Saúde,Murali Divi & family,72,India,Hyderabad,Farmacêutico,India,Masc,1951-03-17,Divi,Murali,No subdivisions info,No subdivisions info,1951,3,17,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
550,552,4900,Tecnologia,Dagmar Dolby & family,81,United States,San Francisco,Laboratórios Dolby,United States,Fem,1941-06-28,Dolby,Dagmar,California,West,1941,6,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
551,552,4900,Tecnologia,Marcos Galperin,84,Argentina,Buenos Aires,Comércio eletrônico,Argentina,Masc,1938-08-04,Galperin,Marcos,No subdivisions info,No subdivisions info,1938,8,4,232.75,53.5,449663446954,90.0,109.7,76.5,10.1,106.3,44938712,-38.416097,-63.616672,South America
